Wall time,Step,Value
1702416824.3700929,500,-45.0
1702416831.7336843,1000,-43.45454406738281
1702416839.4680867,1500,-42.08571243286133
1702416847.0221639,2000,-41.51063919067383
1702416854.4370866,2500,-42.25862121582031
1702416861.961447,3000,-41.34722137451172
1702416869.5868201,3500,-41.90361404418945
1702416876.771248,4000,-42.32258224487305
1702416883.5608628,4500,-42.16999816894531
1702416890.6605866,5000,-43.150001525878906
1702416897.9199388,5500,-44.11000061035156
1702416905.5597968,6000,-44.599998474121094
1702416912.841252,6500,-44.91999816894531
1702416920.588608,7000,-44.560001373291016
1702416928.288181,7500,-45.34000015258789
1702416936.425542,8000,-45.43000030517578
1702416943.9981925,8500,-45.029998779296875
1702416951.5498757,9000,-44.349998474121094
1702416958.9793735,9500,-43.66999816894531
1702416966.5274508,10000,-43.66999816894531
1702416973.6383047,10500,-44.119998931884766
1702416979.872151,11000,-44.16999816894531
1702416984.7706337,11500,-44.290000915527344
1702416988.5893166,12000,-44.70000076293945
1702416992.9927294,12500,-44.81999969482422
1702416996.4063818,13000,-45.18000030517578
1702416999.6401596,13500,-45.34000015258789
1702417004.4435897,14000,-46.02000045776367
1702417009.260115,14500,-45.619998931884766
1702417014.1236157,15000,-45.09000015258789
1702417018.9934556,15500,-45.439998626708984
1702417024.1285176,16000,-44.58000183105469
1702417030.653784,16500,-43.68000030517578
1702417039.7864034,17000,-43.02000045776367
1702417045.036886,17500,-42.7400016784668
1702417050.1643271,18000,-43.150001525878906
1702417055.2469196,18500,-42.68000030517578
1702417059.1397595,19000,-43.40999984741211
1702417062.236852,19500,-44.0
1702417065.7749996,20000,-42.630001068115234
1702417070.6760473,20500,-42.97999954223633
1702417076.9271424,21000,-42.15999984741211
1702417084.0710864,21500,-42.20000076293945
1702417090.6124814,22000,-41.91999816894531
1702417095.4989874,22500,-42.790000915527344
1702417100.17998,23000,-41.0
1702417107.429116,23500,-40.119998931884766
1702417115.0275702,24000,-41.040000915527344
1702417120.0616953,24500,-42.36000061035156
1702417126.4199266,25000,-42.2599983215332
1702417131.7244813,25500,-41.93000030517578
1702417135.758344,26000,-42.97999954223633
1702417141.6430156,26500,-43.75
1702417149.459451,27000,-43.209999084472656
1702417157.2260711,27500,-44.220001220703125
1702417164.9976869,28000,-44.2400016784668
1702417172.4840486,28500,-44.68000030517578
1702417179.9901724,29000,-44.25
1702417187.9355245,29500,-45.22999954223633
1702417195.7384007,30000,-46.529998779296875
1702417203.5787942,30500,-45.77000045776367
1702417211.0775063,31000,-44.849998474121094
1702417219.2482007,31500,-45.13999938964844
1702417228.0253916,32000,-44.150001525878906
1702417236.3394587,32500,-44.5099983215332
1702417244.5076475,33000,-44.45000076293945
1702417252.3420985,33500,-44.869998931884766
