Wall time,Step,Value
1702421312.6082869,3481,-45.68421173095703
1702421375.1087554,7870,-45.7599983215332
1702421382.5923817,8392,-45.189998626708984
1702421410.7138042,10386,-44.90999984741211
1702421446.2187407,12905,-43.349998474121094
1702421498.0130873,16510,-39.220001220703125
1702421636.148282,26154,-38.2599983215332
1702421642.5309887,26594,-38.560001373291016
1702421662.0796547,27938,-36.849998474121094
1702421784.6881077,36473,-43.0
1702421798.270466,37428,-43.470001220703125
1702421854.5947435,41342,-46.619998931884766
1702421887.0405004,43647,-46.61000061035156
1702421902.4718199,44750,-46.59000015258789
1702421985.911294,50685,-40.099998474121094
1702421989.208719,50899,-38.20000076293945
1702422002.1391573,51816,-32.16999816894531
1702422027.8657348,53627,-14.449999809265137
1702422033.588805,54022,-5.230000019073486
1702422050.6491585,55184,-3.859999895095825
1702422055.964845,55552,-3.7300000190734863
1702422060.2357175,55843,-3.049999952316284
1702422063.4839795,56067,-2.930000066757202
1702422075.9102628,56910,-2.4100000858306885
1702422081.0377843,57261,-2.259999990463257
1702422083.7888546,57455,-2.130000114440918
1702422084.9955993,57540,-2.069999933242798
1702422085.18894,57554,-2.0899999141693115
1702422090.774834,57945,-2.009999990463257
1702422093.2788048,58119,-2.059999942779541
1702422094.7232616,58216,-2.109999895095825
1702422095.5359087,58273,-2.049999952316284
1702422097.9677522,58443,-2.009999990463257
1702422099.8554485,58568,-2.0899999141693115
1702422107.5520704,59096,-2.109999895095825
1702422108.9851983,59196,-2.0799999237060547
1702422110.4616783,59299,-2.130000114440918
1702422115.77664,59665,-2.5299999713897705
1702422117.572456,59790,-2.559999942779541
1702422118.4342277,59851,-2.5999999046325684
1702422118.941246,59884,-2.6700000762939453
1702422123.6382782,60099,-2.859999895095825
1702422124.1761947,60130,-2.880000114440918
1702422125.9455867,60239,-2.880000114440918
1702422128.9126172,60428,-3.6700000762939453
1702422131.1023371,60575,-4.139999866485596
1702422143.191332,61416,-6.440000057220459
1702422168.1283705,63068,-2.440000057220459
1702422172.4975853,63277,-2.2300000190734863
1702422174.463826,63392,-2.0899999141693115
1702422174.659289,63404,-2.069999933242798
1702422176.105799,63490,-2.200000047683716
1702422177.4694977,63571,-2.2799999713897705
1702422181.1724577,63798,-2.359999895095825
1702422181.853944,63837,-2.2300000190734863
1702422183.8441274,63959,-2.2699999809265137
1702422194.2910454,64566,-1.9700000286102295
1702422194.8872333,64607,-2.0199999809265137
1702422195.7786853,64666,-1.9800000190734863
1702422196.9744737,64745,-2.0299999713897705
1702422199.6392317,64920,-1.9500000476837158
1702422200.904758,65002,-2.0799999237060547
1702422201.8425632,65061,-2.0299999713897705
1702422211.0712347,65678,-1.9600000381469727
1702422212.098212,65744,-2.0199999809265137
1702422212.2723494,65755,-1.9600000381469727
1702422215.4187996,65966,-1.9900000095367432
1702422217.5544658,66112,-1.9500000476837158
1702422226.4862492,66719,-2.049999952316284
1702422229.2279665,66908,-1.8799999952316284
1702422238.9919178,67568,-2.0199999809265137
1702422239.4789164,67601,-2.0399999618530273
1702422241.9419177,67764,-1.9700000286102295
1702422242.573188,67808,-1.9199999570846558
1702422251.204442,68394,-1.9199999570846558
1702422252.5899942,68481,-1.9199999570846558
1702422256.2984486,68732,-1.8700000047683716
1702422258.4740732,68877,-1.940000057220459
1702422260.2628148,68997,-1.9600000381469727
1702422265.459461,69347,-1.899999976158142
1702422267.1987834,69463,-1.7999999523162842
1702422268.532621,69550,-1.7599999904632568
1702422269.5045059,69618,-1.7100000381469727
1702422274.87275,69976,-1.7999999523162842
1702422280.0561469,70325,-2.0299999713897705
1702422282.7936041,70511,-1.899999976158142
1702422285.4103508,70689,-1.899999976158142
1702422286.0668118,70733,-1.8600000143051147
1702422288.8368418,70925,-1.7999999523162842
1702422294.7343843,71312,-1.7799999713897705
1702422301.9972553,71805,-2.0299999713897705
